회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
팜스토리,027710,동물용 사료 및 조제식품 제조업,사료,1996-07-06,12월,"편명식, 유태호 (각자대표)",http://www.dodrambnf.co.kr,서울특별시
삼보판지,023600,"펄프, 종이 및 판지 제조업","골판지,골판지상자",1996-05-29,12월,"류동원,류진호",http://www.isambo.com,경기도
삼목에스폼,018310,"구조용 금속제품, 탱크 및 증기발생기 제조업","유로폼,갱폼,알루미늄폼,특수폼,유리온실사업",1996-05-03,12월,"김준년, 엄석호 (각자 대표이사)",http://www.sammok.co.kr,경기도
에이스침대,003800,가구 제조업,침대,1996-05-03,12월,안성호,http://www.acebed.co.kr,경기도
원익큐브,014190,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글",1996-04-26,12월,오영신,http://www.hunus.co.kr,경기도
리드코프,012700,기타 전문 도매업,화공약품운반,1996-01-19,12월,김철우,http://www.leadcorp.co.kr,서울특별시
유니슨,018000,일반 목적용 기계 제조업,"납면진받침, 탄성받침·포트받침, 신축이음장치, 소음·진동 방진제품, 파이프행거·서포트",1996-01-10,12월,류지윤,http://www.unison.co.kr,경상남도
에머슨퍼시픽,025980,스포츠 서비스업,양가죽원단,1996-01-06,12월,이만규,http://www.emersonpacific.co.kr,충청북도
광진실업,026910,1차 철강 제조업,마봉,1996-01-03,12월,"김영욱, 허정도",http://www.kjsteel.co.kr,부산광역시
인터엠,017250,영상 및 음향기기 제조업,음향기기,1996-01-03,09월,조순구,http://www.inter-m.co.kr,경기도
성우하이텍,015750,자동차 부품 제조업,자동차범퍼,1995-11-04,12월,"이명근, 이문용(각자대표)",http://www.swhitech.co.kr,부산광역시
대신정보통신,020180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","금융S/W, OKnet, DS-NET, Output 솔루션",1995-10-06,03월,이재원,http://www.dsic.co.kr,광주광역시
서부T&D,006730,상품 종합 도매업,석유류판매,1995-10-06,12월,승만호,,서울특별시
동신건설,025950,토목 건설업,토목,1995-08-07,12월,"김근한,김동한",,경상북도
동화기업,025900,나무제품 제조업,"PB, MDF, 표면재,온돌마루, 창호, 도어 등",1995-08-07,12월,김홍진,http://www.dongwha.co.kr,인천광역시
신라에스지,025870,수산물 가공 및 저장 처리업,수산물도매,1995-07-07,12월,"박병언, 권기서",http://www.sisfood.co.kr,서울특별시
케이씨피드,025880,동물용 사료 및 조제식품 제조업,사료,1995-07-07,12월,"정한식, 김희철(각자 대표이사)",http://www.kcfeed.co.kr,경상북도
한탑,002680,"곡물가공품, 전분 및 전분제품 제조업","소맥분(밀가루),배합사료",1995-07-07,12월,강신우,http://www.ynam.co.kr,부산광역시
한국선재,025550,1차 철강 제조업,철강선재류,1995-06-19,12월,이명호(각자대표) 이제훈(각자대표),http://www.ehansun.co.kr,부산광역시
대성엘텍,025440,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..,1995-05-22,12월,박상규,http://www.dseltec.co.kr,서울특별시
시노펙스,025320,전자부품 제조업,"방청지,방수지,필터",1995-04-20,12월,손경익,http://www.spnp.co.kr,경상북도
PN풍년,024940,기타 금속가공제품 제조업,압력솥,1995-01-04,12월,유재원,http://www.saekwang.co.kr,경기도
삼천리자전거,024950,가정용품 도매업,자전거,1995-01-04,12월,김석환,http://www.samchuly.co.kr,서울특별시
보령메디앙스,014100,기타 화학제품 제조업,"누크, 비비생활용품, 비앙또마망, 지에닉, 닥터 아토피스",1995-01-03,12월,"김은정,박세권(각자 대표이사)",http://www.medience.co.kr,서울특별시
갑을메탈,024840,1차 비철금속 제조업,모터코어,1994-12-29,12월,박한상,http://www.kscl.co.kr,대구광역시
경창산업,024910,자동차 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품",1994-12-29,12월,손일호,http://www.kc.co.kr,대구광역시
대륙제관,004780,기타 금속가공제품 제조업,휴대용부탄가스 및 금속포장용기,1994-12-29,12월,"박봉국, 박봉준 (각자대표이사)",http://www.drcc.co.kr,서울특별시
동원개발,013120,건물 건설업,도급공사,1994-12-29,12월,장복만,http://www.dongwonapt.co.kr,부산광역시
세원물산,024830,자동차 부품 제조업,라디에이터서포터,1994-12-29,12월,"김문기, 김도현",http://www.se-won.co.krcompanyindex.asp?go=com_g,경상북도
이화전기,024810,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",무정전전원장치,1994-12-29,12월,윤상돈,http://www.eti21.com,서울특별시
케이피에프,024880,기타 금속가공제품 제조업,볼트류,1994-12-29,12월,도성득,http://www.kpf.co.kr,경기도
KB오토시스,024120,자동차 부품 제조업,브레이크패드,1994-12-07,12월,김신완,http://www.kbautosys.com,충청남도
신원종합개발,017000,건물 건설업,토건,1994-12-07,12월,우진호,http://www.swc.co.kr,경기도
흥구석유,024060,기타 전문 도매업,휘발유등,1994-12-07,12월,김상우,,대구광역시
대한약품,023910,의약품 제조업,수액제,1994-11-23,12월,이윤우,http://www.daihan.com,서울특별시
아트라스BX,023890,일차전지 및 축전지 제조업,축전지,1994-11-23,12월,강 창 환,http://www.atlasbx.co.kr,대전광역시
이화공영,001840,건물 건설업,도급공사,1994-11-23,12월,"최삼규,최종찬",http://www.ee-hwa.co.kr,서울특별시
풍국주정,023900,알콜음료 제조업,발효주정,1994-11-23,12월,"이한용, 김규호(각자 대표이사)",http://www.pungguk.com,대구광역시
대림제지,017650,기타 종이 및 판지 제품 제조업,골판지원지,1994-11-07,12월,유 창 승,http://www.daelimpaper.co.kr,경기도
대한광통신,010170,절연선 및 케이블 제조업,광섬유,1994-11-07,12월,김영관,¾ø？½,경기도
동일철강,023790,1차 철강 제조업,찬넬,1994-11-07,12월,장인화,http://www.dongilsteel.com,부산광역시
플레이위드,023770,소프트웨어 개발 및 공급업,게임소프트웨어,1994-11-07,12월,김학준,http://www.playwith.co.kr,경기도
한국캐피탈,023760,기타 금융업,리스수수료,1994-11-07,12월,김철영,http://www.hkcapital.co.kr,대전광역시
한일사료,005860,동물용 사료 및 조제식품 제조업,배합사료,1994-11-07,12월,차상협,http://www.hanilfeed.com,경기도
서연전자,012860,자동차 부품 제조업,"스마트키,스위치",1994-10-26,12월,조명수,http://www.seoyonelec.com,경기도
CNH,023460,투자기관,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도
국영지앤엠,006050,유리 및 유리제품 제조업,강화유리,1994-10-07,12월,최재원,http://www.kukyong.com,서울특별시
아이이,023430,기타 전문 도매업,벽지,1994-10-07,12월,"우인근, So Chi On (각자 대표이사)",http://www.nitgen.com/,서울특별시
유진기업,023410,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,1994-10-07,12월,최종성,http://www.eugenes.co.kr,경기도
제일제강,023440,1차 철강 제조업,"연강선재, 경강선재, CHQ외",1994-10-07,12월,김홍택,http://www.jeilsteel.co.kr,경기도
보성파워텍,006910,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전용자재,1994-09-07,12월,임재황,http://www.bosungpower.co.kr,경기도
지엠피,018290,컴퓨터 및 주변장치 제조업,라미네이팅필름,1994-09-07,12월,"박종갑, 김양평(공동대표이사)",http://www.gmp.co.kr,경기도
태광,023160,1차 철강 제조업,"각종 배관자재, 관이음쇠류 제조 및 판매,발전기부품 및 판매업,반도체장비 제조업 및 무역도매",1994-09-07,12월,윤 성 덕,http://www.tkbend.co.kr,부산광역시
영신금속,007530,기타 금속가공제품 제조업,"볼트, 나사",1994-08-05,12월,이정우,http://www.ysmic.co.kr,경기도
신라섬유,001000,부동산 임대 및 공급업,부동산,1994-06-28,12월,박재흥,무,대구광역시
원일특강,012620,1차 철강 제조업,특수강,1994-06-28,12월,신용문,http://www.wonilsteel.co.kr,경기도
서한,011370,건물 건설업,"건축, 토목",1994-05-24,12월,조 종 수,http://www.seo-han.co.kr,대구광역시
바른손,018700,음식점업,지제품,1994-03-18,03월,이상민,http://www.barunson.co.kr,경기도
부방,014470,가정용 기기 제조업,"수정진동자, 수정발진기, 전기보온밥솥 등",1994-02-25,12월,박주원,http://main.lihom-cuchen.com,서울특별시
대명코퍼레이션,007720,상품 종합 도매업,"부동산 임대, 매매",1994-01-06,12월,"서준혁, 유용희(각자 대표이사)",http://daemyungenterprise.com,강원도
대양제지,006580,"펄프, 종이 및 판지 제조업",골판지원지,1993-12-29,12월,권 영,http://www.dygroup.co.kr,경기도
유니크,011320,자동차 부품 제조업,"EGR밸브, 유압솔레노이드밸브, 퓨얼벤트밸브, 퓨얼컷트밸브, 체크밸브, 케니스타 등",1993-12-29,12월,안정구,http://www.unick.co.kr,경상남도
진로발효,018120,알콜음료 제조업,주정,1993-12-29,12월,김종식,http://www.jrdcl.com,경기도
청보산업,013720,자동차 부품 제조업,엔진부품,1993-12-29,12월,안상욱,http://www.cheongbo.co.kr,인천광역시
삼보산업,009620,1차 비철금속 제조업,알미늄괴,1993-12-07,12월,"이태용, 박성남(각자대표)",http://www.samboind.com,경상남도
푸드웰,005670,"과실, 채소 가공 및 저장 처리업","깐밤, 통조림류, 딸기시럽류, 음료제품 등",1993-12-07,12월,"성기준, 성민겸",http://www.foodwell.com,대구광역시
푸른저축은행,007330,은행 및 저축기관,대출이자,1993-12-07,12월,"송명구, 구혜원 (각자대표이사)",http://www.pureunbank.co.kr,서울특별시
피제이전자,006140,의료용 기기 제조업,EMS Business(의료용기기제조외),1993-12-07,12월,김명욱,http://www.pjems.co.kr,경기도
그랜드백화점,019010,종합 소매업,"백화점, 할인점",1993-11-05,12월,김만진,http://www.granddept.co.kr,서울특별시
엠에스씨,009780,기타 식품 제조업,식품첨가물,1993-10-12,12월,"김길제, 김호석",http://www.msckorea.com,경상남도
데코앤이,017680,봉제의복 제조업,숙녀복,1993-09-03,12월,정인견,http://www.deconetishion.com,서울특별시
행남생활건강,008800,도자기 및 기타 요업제품 제조업,자기,1993-09-03,12월,윤경석,http://www.haengnam.co.kr,전라남도
대동금속,020400,금속 주조업,"농기계 주문제품 및 상용차 실린더 헤드, 경승용차 실린더 브록 외",1993-07-30,12월,이 성 태,http://www.daedongmetals.co.kr,대구광역시
광림,014200,자동차용 엔진 및 자동차 제조업,"전기공사용, 운송용, 환경용 특수차량 및 건설용 장비인 유압크레인을 생산·판매하는 제조업체",1993-07-07,12월,이인우,http://www.kanglim.com,충청북도
대원산업,005710,자동차 부품 제조업,자동차시트,1993-06-21,12월,"허재건, 허재명, 김재덕",http://www.dwsu.co.kr,경기도
큐캐피탈,016600,기타 금융업,벤처투자,1993-06-21,12월,김동준,http://www.qcapital.co.kr,서울특별시
한국가구,004590,가구 제조업,소파,1993-06-03,12월,최훈학,http://www.koreafurniture.co.kr,서울특별시
포비스티앤씨,016670,기타 전문 도매업,"h/w,s/w개발",1993-04-21,12월,"남궁정, 이혁수 (각자대표이사)",http://www.pobis.co.kr,서울특별시
중앙에너비스,000440,기타 전문 도매업,석유류도소매,1993-03-24,12월,"한상열, 한상은 (각자 대표이사)",http://www.enervis.co.kr,서울특별시
삼륭물산,014970,"골판지, 종이 상자 및 종이 용기 제조업",카톤팩,1992-12-29,12월,조홍로,http://www.srpack.com,경기도
경동제약,011040,의약품 제조업,"로사졸정, 시사프렌정, 디로핀정, 타론정.주",1992-12-18,12월,"류덕희, 류기성, 남기철",http://www.kdpharma.co.kr,경기도
원풍,008370,플라스틱제품 제조업,합성수지,1992-12-18,12월,윤 기 로,http://www.wonpoong.co.kr,서울특별시
네이처셀,007390,비알콜음료 및 얼음 제조업,잔치집식혜,1992-11-30,12월,라정찬,http://www.rnlsamml.com,서울특별시
삼일기업공사,002290,건물 건설업,도급공사,1992-11-30,12월,박종웅,http://www.samilenter.com,서울특별시
일지테크,019540,자동차 부품 제조업,"차체(라지에타, 팩케이지, 씨트 크로스, 대쉬 판넬)",1992-11-03,12월,"구본일,구준모(각자대표)",http://www.iljitech.co.kr,경상북도
한일화학,007770,기초화학물질 제조업,산화아연,1992-09-07,12월,대표이사 사장 윤성진,http://www.hanzinc.com,경기도
한국알콜,017890,기타 화학제품 제조업,주정,1992-08-04,12월,"지용석, 주성호, 강성우(각자 대표이사)",http://www.ka.co.kr,울산광역시
대주산업,003310,동물용 사료 및 조제식품 제조업,배합사료,1992-08-01,12월,"정은섭,김창종",http://www.daejooind.co.kr,서울특별시
글로본,019660,금융지원 서비스업,벤처캐피탈,1992-06-04,12월,한상호,http://www.globon.co.kr,서울특별시
세명전기,017510,기타 금속가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",1991-12-26,12월,"권재기, 권철현",http://www.semyung-elec.com,부산광역시
에이티넘인베스트,021080,투자기관,벤처캐피탈,1991-07-12,12월,신기천,http://www.hanmivc.co.kr,서울특별시
대동기어,008830,특수 목적용 기계 제조업,"기어, 베벨기어, 축, 엑셀, T/M, 유성감속기, 기타조립품",1991-05-17,12월,이 윤 호,http://www.daedonggear.com,경상남도
피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품,1991-01-04,12월,김 형 민,http://www.pstec.co.kr,서울특별시
코센,009730,1차 철강 제조업,"스테인리스파이프, 선박용배관제작",1990-07-27,12월,"이제원 , 박형채 (각자대표이사)",http://www.kossen.co.kr,전라북도
카스,016920,기계장비 및 관련 물품 도매업,"전자저울,로드셀",1990-01-04,12월,김태인,http://www.cas.co.kr,경기도
하이록코리아,013030,1차 철강 제조업,관이음쇠,1989-12-15,12월,"문휴건, 문창환 각자대표이사",http://www.hy-lok.com,부산광역시
